image_id,class_id,class_name,data_split
img_0,9,Ankle boot,train
img_1,0,T-shirt/top,train
img_2,0,T-shirt/top,train
img_3,3,Dress,train
img_4,0,T-shirt/top,train
img_5,2,Pullover,train
img_6,7,Sneaker,train
img_7,2,Pullover,train
img_8,5,Sandal,train
img_9,5,Sandal,train
img_10,0,T-shirt/top,train
img_11,9,Ankle boot,train
img_12,5,Sandal,train
img_13,5,Sandal,train
img_14,7,Sneaker,train
img_15,9,Ankle boot,train
img_16,1,Trouser,train
img_17,0,T-shirt/top,train
img_18,6,Shirt,train
img_19,4,Coat,train
img_20,3,Dress,train
img_21,1,Trouser,train
img_22,4,Coat,train
img_23,8,Bag,train
img_24,4,Coat,train
img_25,3,Dress,train
img_26,0,T-shirt/top,train
img_27,2,Pullover,train
img_28,4,Coat,train
img_29,4,Coat,train
img_30,5,Sandal,train
img_31,3,Dress,train
img_32,6,Shirt,train
img_33,6,Shirt,train
img_34,0,T-shirt/top,train
img_35,8,Bag,train
img_36,5,Sandal,train
img_37,2,Pullover,train
img_38,1,Trouser,train
img_39,6,Shirt,train
img_40,6,Shirt,train
img_41,7,Sneaker,train
img_42,9,Ankle boot,train
img_43,5,Sandal,train
img_44,9,Ankle boot,train
img_45,2,Pullover,train
img_46,7,Sneaker,train
img_47,3,Dress,train
img_48,0,T-shirt/top,train
img_49,3,Dress,train
img_50,3,Dress,train
img_51,3,Dress,train
img_52,7,Sneaker,train
img_53,2,Pullover,train
img_54,2,Pullover,train
img_55,6,Shirt,train
img_56,6,Shirt,train
img_57,8,Bag,train
img_58,3,Dress,train
img_59,3,Dress,train
img_60,5,Sandal,train
img_61,0,T-shirt/top,train
img_62,5,Sandal,train
img_63,5,Sandal,train
img_64,0,T-shirt/top,train
img_65,2,Pullover,train
img_66,0,T-shirt/top,train
img_67,0,T-shirt/top,train
img_68,4,Coat,train
img_69,1,Trouser,train
img_70,3,Dress,train
img_71,1,Trouser,train
img_72,6,Shirt,train
img_73,3,Dress,train
img_74,1,Trouser,train
img_75,4,Coat,train
img_76,4,Coat,train
img_77,6,Shirt,train
img_78,1,Trouser,train
img_79,9,Ankle boot,train
img_80,1,Trouser,train
img_81,3,Dress,train
img_82,5,Sandal,train
img_83,7,Sneaker,train
img_84,9,Ankle boot,train
img_85,7,Sneaker,train
img_86,1,Trouser,train
img_87,7,Sneaker,train
img_88,9,Ankle boot,train
img_89,9,Ankle boot,train
img_90,9,Ankle boot,train
img_91,3,Dress,train
img_92,2,Pullover,train
img_93,9,Ankle boot,train
img_94,3,Dress,train
img_95,6,Shirt,train
img_96,4,Coat,train
img_97,1,Trouser,train
img_98,1,Trouser,train
img_99,8,Bag,train
img_100,8,Bag,train
img_101,0,T-shirt/top,train
img_102,1,Trouser,train
img_103,1,Trouser,train
img_104,6,Shirt,train
img_105,8,Bag,train
img_106,1,Trouser,train
img_107,9,Ankle boot,train
img_108,7,Sneaker,train
img_109,8,Bag,train
img_110,8,Bag,train
img_111,9,Ankle boot,train
img_112,6,Shirt,train
img_113,6,Shirt,train
img_114,3,Dress,train
img_115,1,Trouser,train
img_116,5,Sandal,train
img_117,4,Coat,train
img_118,6,Shirt,train
img_119,7,Sneaker,train
img_120,5,Sandal,train
img_121,5,Sandal,train
img_122,9,Ankle boot,train
img_123,2,Pullover,train
img_124,2,Pullover,train
img_125,2,Pullover,train
img_126,7,Sneaker,train
img_127,6,Shirt,train
img_128,4,Coat,train
img_129,1,Trouser,train
img_130,8,Bag,train
img_131,7,Sneaker,train
img_132,7,Sneaker,train
img_133,5,Sandal,train
img_134,4,Coat,train
img_135,2,Pullover,train
img_136,9,Ankle boot,train
img_137,1,Trouser,train
img_138,7,Sneaker,train
img_139,4,Coat,train
img_140,6,Shirt,train
img_141,9,Ankle boot,train
img_142,7,Sneaker,train
img_143,1,Trouser,train
img_144,8,Bag,train
img_145,7,Sneaker,train
img_146,1,Trouser,train
img_147,2,Pullover,train
img_148,8,Bag,train
img_149,0,T-shirt/top,train
img_150,9,Ankle boot,train
img_151,1,Trouser,train
img_152,8,Bag,train
img_153,7,Sneaker,train
img_154,0,T-shirt/top,train
img_155,5,Sandal,train
img_156,8,Bag,train
img_157,6,Shirt,train
img_158,7,Sneaker,train
img_159,2,Pullover,train
img_160,0,T-shirt/top,train
img_161,8,Bag,train
img_162,7,Sneaker,train
img_163,1,Trouser,train
img_164,6,Shirt,train
img_165,2,Pullover,train
img_166,1,Trouser,train
img_167,9,Ankle boot,train
img_168,6,Shirt,train
img_169,0,T-shirt/top,train
img_170,1,Trouser,train
img_171,0,T-shirt/top,train
img_172,5,Sandal,train
img_173,5,Sandal,train
img_174,1,Trouser,train
img_175,7,Sneaker,train
img_176,0,T-shirt/top,train
img_177,5,Sandal,train
img_178,8,Bag,train
img_179,4,Coat,train
img_180,0,T-shirt/top,train
img_181,4,Coat,train
img_182,0,T-shirt/top,train
img_183,6,Shirt,train
img_184,6,Shirt,train
img_185,4,Coat,train
img_186,0,T-shirt/top,train
img_187,0,T-shirt/top,train
img_188,4,Coat,train
img_189,7,Sneaker,train
img_190,3,Dress,train
img_191,0,T-shirt/top,train
img_192,5,Sandal,train
img_193,8,Bag,train
img_194,4,Coat,train
img_195,1,Trouser,train
img_196,1,Trouser,train
img_197,2,Pullover,train
img_198,9,Ankle boot,train
img_199,2,Pullover,train
img_200,8,Bag,train
img_201,5,Sandal,train
img_202,0,T-shirt/top,train
img_203,6,Shirt,train
img_204,3,Dress,train
img_205,4,Coat,train
img_206,6,Shirt,train
img_207,0,T-shirt/top,train
img_208,9,Ankle boot,train
img_209,1,Trouser,train
img_210,7,Sneaker,train
img_211,3,Dress,train
img_212,8,Bag,train
img_213,5,Sandal,train
img_214,8,Bag,train
img_215,3,Dress,train
img_216,8,Bag,train
img_217,5,Sandal,train
img_218,2,Pullover,train
img_219,0,T-shirt/top,train
img_220,8,Bag,train
img_221,7,Sneaker,train
img_222,0,T-shirt/top,train
img_223,3,Dress,train
img_224,5,Sandal,train
img_225,0,T-shirt/top,train
img_226,6,Shirt,train
img_227,5,Sandal,train
img_228,2,Pullover,train
img_229,7,Sneaker,train
img_230,5,Sandal,train
img_231,2,Pullover,train
img_232,6,Shirt,train
img_233,8,Bag,train
img_234,2,Pullover,train
img_235,6,Shirt,train
img_236,8,Bag,train
img_237,0,T-shirt/top,train
img_238,4,Coat,train
img_239,4,Coat,train
img_240,4,Coat,train
img_241,4,Coat,train
img_242,4,Coat,train
img_243,1,Trouser,train
img_244,5,Sandal,train
img_245,6,Shirt,train
img_246,5,Sandal,train
img_247,3,Dress,train
img_248,3,Dress,train
img_249,7,Sneaker,train
img_250,3,Dress,train
img_251,3,Dress,train
img_252,6,Shirt,train
img_253,2,Pullover,train
img_254,8,Bag,train
img_255,4,Coat,train
img_256,6,Shirt,train
img_257,5,Sandal,train
img_258,9,Ankle boot,train
img_259,3,Dress,train
img_260,2,Pullover,train
img_261,3,Dress,train
img_262,2,Pullover,train
img_263,4,Coat,train
img_264,4,Coat,train
img_265,8,Bag,train
img_266,2,Pullover,train
img_267,5,Sandal,train
img_268,3,Dress,train
img_269,0,T-shirt/top,train
img_270,7,Sneaker,train
img_271,2,Pullover,train
img_272,0,T-shirt/top,train
img_273,2,Pullover,train
img_274,5,Sandal,train
img_275,7,Sneaker,train
img_276,2,Pullover,train
img_277,3,Dress,train
img_278,1,Trouser,train
img_279,7,Sneaker,train
img_280,6,Shirt,train
img_281,2,Pullover,train
img_282,9,Ankle boot,train
img_283,1,Trouser,train
img_284,9,Ankle boot,train
img_285,1,Trouser,train
img_286,1,Trouser,train
img_287,8,Bag,train
img_288,7,Sneaker,train
img_289,8,Bag,train
img_290,4,Coat,train
img_291,2,Pullover,train
img_292,6,Shirt,train
img_293,6,Shirt,train
img_294,7,Sneaker,train
img_295,9,Ankle boot,train
img_296,4,Coat,train
img_297,6,Shirt,train
img_298,1,Trouser,train
img_299,9,Ankle boot,train
img_300,5,Sandal,train
img_301,6,Shirt,train
img_302,0,T-shirt/top,train
img_303,5,Sandal,train
img_304,0,T-shirt/top,train
img_305,1,Trouser,train
img_306,6,Shirt,train
img_307,1,Trouser,train
img_308,1,Trouser,train
img_309,6,Shirt,train
img_310,7,Sneaker,train
img_311,4,Coat,train
img_312,4,Coat,train
img_313,8,Bag,train
img_314,6,Shirt,train
img_315,4,Coat,train
img_316,6,Shirt,train
img_317,9,Ankle boot,train
img_318,3,Dress,train
img_319,7,Sneaker,train
img_320,5,Sandal,train
img_321,0,T-shirt/top,train
img_322,8,Bag,train
img_323,3,Dress,train
img_324,4,Coat,train
img_325,0,T-shirt/top,train
img_326,3,Dress,train
img_327,3,Dress,train
img_328,2,Pullover,train
img_329,0,T-shirt/top,train
img_330,1,Trouser,train
img_331,0,T-shirt/top,train
img_332,3,Dress,train
img_333,8,Bag,train
img_334,3,Dress,train
img_335,9,Ankle boot,train
img_336,1,Trouser,train
img_337,9,Ankle boot,train
img_338,0,T-shirt/top,train
img_339,4,Coat,train
img_340,7,Sneaker,train
img_341,7,Sneaker,train
img_342,8,Bag,train
img_343,5,Sandal,train
img_344,6,Shirt,train
img_345,5,Sandal,train
img_346,6,Shirt,train
img_347,8,Bag,train
img_348,2,Pullover,train
img_349,5,Sandal,train
img_350,2,Pullover,train
img_351,3,Dress,train
img_352,1,Trouser,train
img_353,6,Shirt,train
img_354,0,T-shirt/top,train
img_355,7,Sneaker,train
img_356,8,Bag,train
img_357,7,Sneaker,train
img_358,8,Bag,train
img_359,1,Trouser,train
img_360,9,Ankle boot,train
img_361,6,Shirt,train
img_362,4,Coat,train
img_363,5,Sandal,train
img_364,7,Sneaker,train
img_365,1,Trouser,train
img_366,7,Sneaker,train
img_367,6,Shirt,train
img_368,6,Shirt,train
img_369,7,Sneaker,train
img_370,3,Dress,train
img_371,5,Sandal,train
img_372,8,Bag,train
img_373,7,Sneaker,train
img_374,3,Dress,train
img_375,3,Dress,train
img_376,9,Ankle boot,train
img_377,0,T-shirt/top,train
img_378,3,Dress,train
img_379,1,Trouser,train
img_380,6,Shirt,train
img_381,4,Coat,train
img_382,7,Sneaker,train
img_383,0,T-shirt/top,train
img_384,5,Sandal,train
img_385,1,Trouser,train
img_386,5,Sandal,train
img_387,4,Coat,train
img_388,4,Coat,train
img_389,5,Sandal,train
img_390,9,Ankle boot,train
img_391,1,Trouser,train
img_392,0,T-shirt/top,train
img_393,5,Sandal,train
img_394,8,Bag,train
img_395,3,Dress,train
img_396,4,Coat,train
img_397,4,Coat,train
img_398,2,Pullover,train
img_399,4,Coat,train
img_400,2,Pullover,train
img_401,5,Sandal,train
img_402,6,Shirt,train
img_403,7,Sneaker,train
img_404,2,Pullover,train
img_405,2,Pullover,train
img_406,5,Sandal,train
img_407,3,Dress,train
img_408,8,Bag,train
img_409,8,Bag,train
img_410,6,Shirt,train
img_411,8,Bag,train
img_412,4,Coat,train
img_413,4,Coat,train
img_414,1,Trouser,train
img_415,0,T-shirt/top,train
img_416,2,Pullover,train
img_417,7,Sneaker,train
img_418,1,Trouser,train
img_419,1,Trouser,train
img_420,8,Bag,train
img_421,8,Bag,train
img_422,2,Pullover,train
img_423,7,Sneaker,train
img_424,9,Ankle boot,train
img_425,7,Sneaker,train
img_426,4,Coat,train
img_427,1,Trouser,train
img_428,2,Pullover,train
img_429,0,T-shirt/top,train
img_430,8,Bag,train
img_431,9,Ankle boot,train
img_432,1,Trouser,train
img_433,4,Coat,train
img_434,9,Ankle boot,train
img_435,5,Sandal,train
img_436,6,Shirt,train
img_437,7,Sneaker,train
img_438,0,T-shirt/top,train
img_439,3,Dress,train
img_440,2,Pullover,train
img_441,0,T-shirt/top,train
img_442,4,Coat,train
img_443,1,Trouser,train
img_444,0,T-shirt/top,train
img_445,0,T-shirt/top,train
img_446,8,Bag,train
img_447,7,Sneaker,train
img_448,0,T-shirt/top,train
img_449,2,Pullover,train
img_450,9,Ankle boot,train
img_451,9,Ankle boot,train
img_452,1,Trouser,train
img_453,3,Dress,train
img_454,8,Bag,train
img_455,3,Dress,train
img_456,1,Trouser,train
img_457,4,Coat,train
img_458,8,Bag,train
img_459,5,Sandal,train
img_460,1,Trouser,train
img_461,8,Bag,train
img_462,2,Pullover,train
img_463,4,Coat,train
img_464,4,Coat,train
img_465,9,Ankle boot,train
img_466,5,Sandal,train
img_467,5,Sandal,train
img_468,4,Coat,train
img_469,5,Sandal,train
img_470,6,Shirt,train
img_471,3,Dress,train
img_472,7,Sneaker,train
img_473,4,Coat,train
img_474,9,Ankle boot,train
img_475,5,Sandal,train
img_476,8,Bag,train
img_477,9,Ankle boot,train
img_478,3,Dress,train
img_479,9,Ankle boot,train
img_480,6,Shirt,train
img_481,4,Coat,train
img_482,7,Sneaker,train
img_483,2,Pullover,train
img_484,2,Pullover,train
img_485,6,Shirt,train
img_486,4,Coat,train
img_487,8,Bag,train
img_488,3,Dress,train
img_489,0,T-shirt/top,train
img_490,2,Pullover,train
img_491,8,Bag,train
img_492,9,Ankle boot,train
img_493,0,T-shirt/top,train
img_494,8,Bag,train
img_495,6,Shirt,train
img_496,3,Dress,train
img_497,9,Ankle boot,train
img_498,1,Trouser,train
img_499,6,Shirt,train
img_500,3,Dress,train
img_501,2,Pullover,train
img_502,6,Shirt,train
img_503,1,Trouser,train
img_504,0,T-shirt/top,train
img_505,2,Pullover,train
img_506,6,Shirt,train
img_507,2,Pullover,train
img_508,3,Dress,train
img_509,3,Dress,train
img_510,9,Ankle boot,train
img_511,1,Trouser,train
img_512,7,Sneaker,train
img_513,9,Ankle boot,train
img_514,1,Trouser,train
img_515,1,Trouser,train
img_516,0,T-shirt/top,train
img_517,1,Trouser,train
img_518,7,Sneaker,train
img_519,0,T-shirt/top,train
img_520,8,Bag,train
img_521,5,Sandal,train
img_522,0,T-shirt/top,train
img_523,6,Shirt,train
img_524,0,T-shirt/top,train
img_525,1,Trouser,train
img_526,6,Shirt,train
img_527,6,Shirt,train
img_528,8,Bag,train
img_529,7,Sneaker,train
img_530,0,T-shirt/top,train
img_531,9,Ankle boot,train
img_532,9,Ankle boot,train
img_533,9,Ankle boot,train
img_534,7,Sneaker,train
img_535,4,Coat,train
img_536,3,Dress,train
img_537,9,Ankle boot,train
img_538,5,Sandal,train
img_539,9,Ankle boot,train
img_540,1,Trouser,train
img_541,4,Coat,train
img_542,1,Trouser,train
img_543,6,Shirt,train
img_544,2,Pullover,train
img_545,2,Pullover,train
img_546,2,Pullover,train
img_547,7,Sneaker,train
img_548,7,Sneaker,train
img_549,6,Shirt,train
img_550,3,Dress,train
img_551,7,Sneaker,train
img_552,5,Sandal,train
img_553,8,Bag,train
img_554,6,Shirt,train
img_555,4,Coat,train
img_556,8,Bag,train
img_557,4,Coat,train
img_558,7,Sneaker,train
img_559,8,Bag,train
img_560,6,Shirt,train
img_561,5,Sandal,train
img_562,9,Ankle boot,train
img_563,9,Ankle boot,train
img_564,0,T-shirt/top,train
img_565,0,T-shirt/top,train
img_566,2,Pullover,train
img_567,4,Coat,train
img_568,3,Dress,train
img_569,7,Sneaker,train
img_570,9,Ankle boot,train
img_571,3,Dress,train
img_572,1,Trouser,train
img_573,9,Ankle boot,train
img_574,2,Pullover,train
img_575,7,Sneaker,train
img_576,5,Sandal,train
img_577,5,Sandal,train
img_578,4,Coat,train
img_579,8,Bag,train
img_580,2,Pullover,train
img_581,7,Sneaker,train
img_582,8,Bag,train
img_583,1,Trouser,train
img_584,2,Pullover,train
img_585,6,Shirt,train
img_586,6,Shirt,train
img_587,8,Bag,train
img_588,1,Trouser,train
img_589,9,Ankle boot,train
img_590,6,Shirt,train
img_591,0,T-shirt/top,train
img_592,0,T-shirt/top,train
img_593,5,Sandal,train
img_594,9,Ankle boot,train
img_595,3,Dress,train
img_596,3,Dress,train
img_597,7,Sneaker,train
img_598,6,Shirt,train
img_599,1,Trouser,train
img_600,0,T-shirt/top,train
img_601,0,T-shirt/top,train
img_602,6,Shirt,train
img_603,4,Coat,train
img_604,7,Sneaker,train
img_605,5,Sandal,train
img_606,9,Ankle boot,train
img_607,7,Sneaker,train
img_608,9,Ankle boot,train
img_609,3,Dress,train
img_610,8,Bag,train
img_611,8,Bag,train
img_612,4,Coat,train
img_613,8,Bag,train
img_614,5,Sandal,train
img_615,4,Coat,train
